post,aspect,polarity
ভারতের সামনে পাকিস্তান একটা ছাগল,other,neutral
চাচা মিয়া আন্নের অব্যাহতি জনগণ খায় না।,politics,negative
আলহামদুলিল্লাহ অতি মুল্যবান লেকচার দিচ্ছেন আল্লহু হায়াতে তাইয়্যেবা দান করুন,religion,positive
পুরো ১৬ কোটি জনগন সমাধানে অপেক্ষায়,other,positive
"আমি দেখি ম্যাশ ভাই প্রথম উইকেট পায়, বেশির ভাগ ম্যাচে। ধন্যবাদ বাংলাদেশ টিমকে।",sports,positive
যদি মেসি আর রোনালদো তাদের ১১ টা ব্যালন পেরেজ রে দান করতে রাজি হয় তাহলে রিয়ালের এগারো জন প্লেয়ারই ব্যালন পাবে।,sports,neutral
গায়েবি মামলা আগেই দেওয়া হয়েছে,politics,negative
আরে ভাই আমি চিন্তা করছি নাপোলির সাথেই হেরে যায় নাকি,sports,neutral
বিরোধী পক্ষ অার প্রশাসন মুখোমুখি দাঁড়িয়ে যাচ্ছে,other,neutral
এসব ভুল রিপোর্ট,other,negative
ইহুদীদের যারা হত্যা করেছে বা এখন যারা হত্যা করতে চায় তারা কেও ইসলামের বড় কোন আলেম না,religion,negative
আমিও ধন্যবাদ জানাই....,other,positive
নোয়াখালী টয়লেট পাবি,other,negative
তার বউকে ডিএনএ করা দরকার কত জন কত বার চুদেছে তত বার কর দিতে হবে মালকে।,other,negative
নতুন বছরেই মা হতে চলেছেন আনুশকা শর্মা।,other,positive
তমা মির্জার হবু জামাই আমিন খান,other,neutral
এখানে তোমাদের একমাত্র লক্ষ্য পবিত্র কুরআন শরীফ।,religion,negative
এশিয়া কাপ ট্রফিটা আপনার হাতে দেখতে চাই প্রিয় ক্যাপ্টেন,sports,positive
"মেসি সমর্থক হয়েও দ্বীমত পোষণ করছি,কারন ফুটবল ইতিহাসের সেরা খেলোয়াড় মেসির পরেই এই রোনালদো",sports,negative
হানিফ ভোটের কি বোজে মাছ ব্যাবসায়ি।,politics,negative
ছাল নাই কুত্তা নাম তার বাঘা।,other,negative
